Title,Price,Rating,Image URL,Category
"Amazon Fire Max 11 tablet (newest model) vivid 11” display, all-in-one for streaming, reading, and gaming, 14-hour battery life, optional stylus and keyboard, 64 GB, Gray",,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71wk6xXIzPL._AC_UY218_.jpg,Gaming
"15.6 Inch Laptops, Laptop Computers with 20GB RAM 128GB EMMC+1024GB SSD, Celeron N5095 Quad-Core(Up to 2.9GHz), Portable Notebook, 11 Home, 7000mAh Battery, WiFi 6, USB 3.2, HDMI, Type-C(Pink)",$289.99,4.8 out of 5 stars,https://m.media-amazon.com/images/I/71BQ84d2RtL._AC_UY218_.jpg,Other
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",$177.98,4.1 out of 5 stars,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg,Other
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",$299.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UY218_.jpg,Other
"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",$210.00,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61IpRGnny7L._AC_UY218_.jpg,Office
"HP 15.6"" Business Laptop, Free Microsoft Office 2024 Lifetime License, Copilot AI Chat, HD Touchscreen Display, Intel 6-Core i3-1215U 4.4 GHz, 16GB RAM, 1TB SSD, Long Battery Life, Windows 11 Pro",$416.00,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71xEfn8Qi8L._AC_UY218_.jpg,Office
"Like-New Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Black",,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61uE03cRsyS._AC_UY218_.jpg,Other
"ASUS Chromebook CX1, 14"" FHD, Intel® Celeron N4500 Processor, 64GB Storage, 4GB RAM, ChromeOS, Transparent Silver, CX1400CKA-AS44F",$141.84,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71oYSGF0gVS._AC_UY218_.jpg,Other
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",$309.00,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61Uw0-2+2YL._AC_UY218_.jpg,Office
"Gaming Laptop, Laptop Computer with AMD Ryzen 7 5700U (8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD Windows 11 laptop, Radeon RX Vega 8 Graphics, 16.0-inch Display, WiFi 6, 53Wh Battery, Backlit KB",$494.99,5.0 out of 5 stars,https://m.media-amazon.com/images/I/81jFW4cV7bL._AC_UY218_.jpg,Gaming
"Lenovo IdeaPad Slim 3 Chromebook - 2024 - Lightweight Laptop - Waves MaxxAudio® Speakers - 14"" HD Display - HD 720p Camera - 4GB Memory - 64GB Storage - MediaTek Kompanio 520 - Abyss Blue",$180.83,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61BRKJYlOSL._AC_UY218_.jpg,Office
"Lenovo ThinkPad E16 G2 16"" FHD+ AI Business Laptop Computer, Intel 16-Core Ultra 7 155H (Beat i7-13705H), Arc Graphics, 64GB DDR5 RAM, 2TB PCIe SSD, WiFi 6E, Backlit KB, FR, Windows 11 Pro, AZ-XUT","$1,389.00",4.5 out of 5 stars,https://m.media-amazon.com/images/I/712P6GANY1L._AC_UY218_.jpg,Office
"ASUS ROG Strix G16 Gaming Laptop, 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74","$1,303.30",4.3 out of 5 stars,https://m.media-amazon.com/images/I/81GrCeuCzxL._AC_UY218_.jpg,Gaming
"jumper Laptop, 12GB RAM 640GB ROM, Office 365-1 Year 5305U Processor, 15.6 Inch Computer, FHD IPS Screen, 38Wh Battery, 2 Stereo Speakers, USB3.0 * 2, HDMI.",$299.99,5.0 out of 5 stars,https://m.media-amazon.com/images/I/81FQFt8LKTL._AC_UY218_.jpg,Office
"HP 17 Laptop, 17.3"" HD+ Touchscreen Display, 12th Gen Intel Core i7-1255U, 64GB RAM, 2TB SSD, Webcam, HDMI, SuperSpeed USB Ports, Wi-Fi 6, Windows 11 Home, Silver",$840.00,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71CGrFl8cjL._AC_UY218_.jpg,Other
"16 inch Laptop, 12GB RAM 384GB Storage Laptop Computer, 5305U Processor, 1920x1200 IPS FHD Display, WiFi, Bluetooth, Webcam, Type-C, 38Wh Battery",$280.02,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71BvUKRwRyL._AC_UY218_.jpg,Other
"jumper Laptop, 12GB RAM 640GB Storage, 5305U Processor, Office 365-1 Year, 15.6 Inch Computer, FHD IPS Screen, 38Wh Battery, 2 Stereo Speakers, USB3.0 * 2, Type-C, WiFi-5.",$299.99,4.8 out of 5 stars,https://m.media-amazon.com/images/I/81J4NJ9ZiGL._AC_UY218_.jpg,Office
"2025 Gaming Laptop, Laptop with AMD Ryzen 7 5700U (8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD Laptop Computer, Radeon RX Vega 8 Graphics, 16.1-inch FHD Display, WiFi 6, 53Wh Battery, Backlit KB",$579.99,5.0 out of 5 stars,https://m.media-amazon.com/images/I/71vCFSaxAyL._AC_UY218_.jpg,Gaming
"ASUS 15.6” Vivobook Go Slim Laptop, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11, Star Black, L510KA-ES04",$227.61,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61KZBt8QeGL._AC_UY218_.jpg,Other
"jumper Laptop, 12GB RAM 640GB Storage, 5305U Processor, Office 365-1 Year, 15.6 Inch Computer, FHD IPS Screen, 38Wh Battery, 2 Stereo Speakers, USB3.0 * 2, Type-C, WiFi-5.",$299.99,4.8 out of 5 stars,https://m.media-amazon.com/images/I/81J4NJ9ZiGL._AC_UY218_.jpg,Office
ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black),$144.00,4.0 out of 5 stars,https://m.media-amazon.com/images/I/614Jk1dIoGL._AC_UY218_.jpg,Other
"15.6"" Laptop Computer, Windows 11 Laptop, 8GB RAM 256GB SSD, Intel Pentium Quad-Core Processor(Up to 2.64GHz), FHD 1080P IPS, Wi-Fi 5, BT5.0, Portable Notebook for Office, Students, Families",$259.99,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71U7c6w2+JL._AC_UY218_.jpg,Office
"Laptop Computers, 36GB RAM 128GB EMMC+2048GB SSD, 15.6 Inch Laptops with Celeron N5095 Quad-Core(Up to 2.9GHz), 11 Home, Portable Notebook, WiFi 6, USB 3.2, HDMI, Type-C, 7000mAh Battery(Pink)",$379.99,4.8 out of 5 stars,https://m.media-amazon.com/images/I/71g3XoujtxL._AC_UY218_.jpg,Other
"jumper Laptop, 12GB RAM 640GB ROM, Office 365-1 Year 5305U Processor, 15.6 Inch Computer, FHD IPS Screen, 38Wh Battery, 2 Stereo Speakers, USB3.0 * 2, HDMI.",$299.99,5.0 out of 5 stars,https://m.media-amazon.com/images/I/81FQFt8LKTL._AC_UY218_.jpg,Office
